p_iso3,p_country_name,fsi_2022_ss_p,contr_ss_fdi_inward,fdi_inward,contr_ss_fdi_eq_inward,fdi_eq_inward,contr_ss_fdi_debt_inward,fdi_debt_inward,contr_ss_fdi_outward,fdi_outward,contr_ss_fdi_eq_outward,fdi_eq_outward,contr_ss_fdi_debt_outward,fdi_debt_outward,contr_ss_pi_inward,pi_inward,contr_ss_pi_eq_inward,pi_eq_inward,contr_ss_pi_debt_inward,pi_debt_inward,contr_ss_pi_outward,pi_outward,contr_ss_pi_eq_outward,pi_eq_outward,contr_ss_pi_debt_outward,pi_debt_outward,contr_ss_imports_tot,imports_tot,contr_ss_imports_agric,imports_agric,contr_ss_imports_chemic,imports_chemic,contr_ss_imports_electro,imports_electro,contr_ss_imports_machine,imports_machine,contr_ss_imports_metals,imports_metals,contr_ss_imports_mineral,imports_mineral,contr_ss_imports_stone,imports_stone,contr_ss_imports_textil,imports_textil,contr_ss_imports_vehicle,imports_vehicle,contr_ss_exports_tot,exports_tot,contr_ss_exports_agric,exports_agric,contr_ss_exports_chemic,exports_chemic,contr_ss_exports_electro,exports_electro,contr_ss_exports_machine,exports_machine,contr_ss_exports_metals,exports_metals,contr_ss_exports_mineral,exports_mineral,contr_ss_exports_stone,exports_stone,contr_ss_exports_textil,exports_textil,contr_ss_exports_vehicle,exports_vehicle
MHL,Marshall Islands,71.25,5.4835382,.845851758530184,,,22.052773,6.41013648293963,,,,,,,,,,,,,,,,,,,11.567757,13.416961,,,3.3153832,.0321410000324249,.77951545,.0001819999963045,4.7018065,.0776800003051758,,,,,,,2.2885785,.0031900000572205,34.976162,13.30376765489578,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,79.074997,5.3219237,.302711286089239,,,10.896322,.302711286089239,3.8034832,.08938583,,,,,,,,,,,,,,,,,6.9196458,1.124267,6.9232264,.1528640022277832,13.546486,.8583200100585818,1.8784328,.0009970000088215,5.6532426,.0528589998185635,7.8349452,.0577179979681969,,,,,2.4375951,.0015089999437332,,,8.1997385,1.59626,16.153431,1.596259963989258,,,,,,,,,,,,,,,,
MEX,Mexico,53.075001,5.1166706,9.730335958005249,,,10.47608,9.730335958005249,2.917891,1.4597349,2.0945663,.36500001,,,,,,,,,,,,,,,10.31682,134.77148,11.682761,26.56799339931831,11.699853,20.00106366967037,20.747681,48.59140481595695,11.858872,17.64813892605901,11.278407,6.22714718178194,1.230263,.0055609998703003,2.1643679,.0131250004433095,8.063756,1.975874045073986,14.614053,13.74118095770478,5.7448959,19.856039,6.8027382,4.31224195098877,,,,,,,,,17.639284,15.543798828125,,,,,,
TTO,Trinidad and Tobago,68.949997,4.6744866,.7039941207349081,5.3644433,.7039941207349081,,,,,,,,,,,,,,,,,,,,,1.3913369,.031366002,,,1.6741219,.0055599999427795,.91308939,.0003930000066757,2.4450567,.0146770002543926,2.4363275,.0059559999704361,,,1.5219253,.0004329999983311,1.0534383,.0004180000126362,2.1108437,.0039289999008179,1.2889047,.021276999,2.4239161,.0185100006274879,.76878816,.0003709999918938,,,1.0399058,.0007630000114441,1.0410353,.0003740000128746,,,.934187,.0000890000015497,1.566264,.001169999986887,,
BWA,Botswana,56.799999,4.5653324,3.75368417150166,4.242198,1.99269653548853,1.2649472,.0093030157480315,7.7810326,15.033273,7.8849854,10.575194,,,,,,,,,,,,,,,1.7807556,.37639901,3.2363703,.3067410005256533,.49727088,.0008340000025928,.54677302,.0004830000111833,.66786188,.001712000053376,,,,,,,3.1810343,.0658760016689776,.68035561,.0007530000209808,1.2948005,.123461,1.2616005,.0149380000359379,1.8247993,.0283969998627435,.78651857,.0010079999858281,1.0098227,.0039989999848185,.42823213,.0001490000026533,.10914743,2.00000009499e-06,1.3808124,.001644999941811,2.6668301,.0330559994240757,2.9319768,.0402670006081462
AUT,Austria,54.625,4.4663415,4.99468574540682,,,9.2985239,5.25122309711286,.18865128,.00030446195,,,,,11.833546,67.4905,,,15.760458,67.4905,,,,,,,10.559336,111.52114,11.157011,17.85882042213075,6.5490484,2.707281995458063,13.881915,11.23274824631773,15.84736,32.50322723633144,9.8736773,3.224554025199264,3.2325757,.0778560009002685,23.656916,13.22718519728817,20.389051,24.65047614307678,12.113098,6.038995146289468,11.40031,119.75209,6.2178564,2.541328953168239,1.6246198,.0284770001450088,4.201149,.2182980007193983,4.2575717,.4259060142571107,.58144027,.0005299999974668,37.625908,116.4293065000027,1.5920535,.0035830000061542,3.3964705,.0970420006010681,1.496717,.0076120001077652
BGR,Bulgaria,52.775002,4.0911508,5.23428803149606,,,8.3763885,5.23428803149606,.48268086,.0069534881,4.5774593,4.0090346,,,2.1054921,.518355558467229,,,2.8041911,.518355558467229,1.706392,.246535912747408,2.5689263,.24148748216386,.62414694,.005048430583548,6.6746063,38.405479,5.8579645,3.524666991263628,9.092804,9.88009414371848,11.501578,8.711217842862011,6.9570704,3.749761979112402,5.3825955,.7123230038955808,15.139437,10.9054599609375,6.6153169,.3943790021538734,2.6010265,.0697810008609667,4.6231217,.4577979975342751,4.5915785,10.668121,8.784791,9.772415618896485,2.5886912,.1570899962186813,,,2.9558258,.1943269957304001,.40762112,.0002489999979734,,,,,5.4337363,.5418020051121711,.89737207,.0022369999885559
PAK,Pakistan,66.349998,4.0353565,.640107611548556,,,8.2621536,.640107611548556,10.327605,8.6797552,,,,,,,,,,,,,,,,,14.171041,46.838978,13.849499,5.935622018417344,18.344341,10.3385570312913,23.4368,9.392639253675938,18.411184,8.856369045082479,8.2206182,.3233709928542375,5.1734152,.055454000711441,2.1930416,.0018309999704361,24.969711,7.867368996851146,19.02832,4.067759985232725,20.21382,115.99336,11.114701,2.522242992583662,1.4617182,.0036039999723434,,,.45779219,.0000920000001788,,,65.577095,107.1056958127022,,,20.925194,3.943114034056664,18.302507,2.418612060546875
IRL,Ireland,47.200001,3.9563262,12.9292611968504,1.4389817,.411614923884514,8.0134544,12.5176462729659,5.1350565,22.868322,,,,,18.573227,971.8632,16.014217,168.1127,23.219172,803.7505,,,,,,,9.9035645,342.66281,16.524229,216.0816758266446,13.202377,82.6038522794851,7.0422835,5.461644061356782,10.264755,32.89626869275875,2.5522683,.2074230034416542,2.2901075,.1030999985933304,1.9170182,.0262129996456206,4.5545001,1.023296006126329,6.95612,4.259367992401123,3.4192932,12.033369,2.00705,.3183160005356185,1.9850492,.1934630017043091,.97318691,.0101059997265693,.85690159,.0129320002030581,.51815969,.0013969999771798,11.164439,11.32809892187267,1.3735267,.0085690001701005,2.5866001,.1596279986498412,.46661228,.0008589999862015
HUN,Hungary,55.200001,3.8374288,2.883,,,7.8569074,2.883,2.9491658,1.0585774,,,,,3.606447,1.73863330642992,5.5808382,1.73863330642992,,,,,,,,,7.7626476,40.32259,9.4451246,9.860606228865217,11.685739,13.99711627215892,10.425646,4.330300913961372,8.9991407,5.416642072775401,6.1960726,.7251929982043803,8.4181032,1.251296002388,1.2813965,.0019130000183359,11.455742,3.979010906186886,6.2653537,.7605139965415001,2.5121171,1.166069,1.1187142,.0134699997211574,.86050695,.0038510000482202,7.4139295,1.091848044972867,2.026186,.0417769994295668,1.6775987,.0115849996673642,.40587568,.0001330000013113,.72583485,.0003090000087395,1.1116067,.0030959999755723,,
ECU,Ecuador,52.224998,3.8021581,4.61700175853018,3.0200915,1.5309387664042,6.8064885,3.08606299212598,,,,,,,,,,,,,,,,,,,1.996666,1.129746,3.0778732,.5617959899902344,1.0737246,.0178770000934601,1.1818178,.0103850004673004,3.5292432,.5379199991300702,.70622665,.0017680000066757,,,,,,,,,.30974939,.0035989999,.61020434,.0035989999771118,,,,,,,,,,,,,,,,
VNM,Vietnam,80.875,3.420464,.0656299212598425,,,7.0031972,.0656299212598425,.13002104,2.9160103e-06,,,,,,,,,,,,,,,,,41.331024,195.64572,38.595455,21.62778929406125,52.075783,39.81995447682543,61.512066,28.58993190838746,39.5439,14.77367787701217,44.57655,8.680538156300782,25.232115,1.083182006835937,36.818802,1.458802029713988,93.669991,69.9246031838744,46.018826,9.687241180598736,53.085602,353.71863,91.133545,234.0820623025894,6.6587372,.0573599991798401,6.3912282,.0224850006103516,14.010833,.4440319884419441,48.59626,9.052396118164063,119.60217,109.3988903465271,3.5180185,.001130999982357,20.887535,.6602859926223755,,
OMN,Oman,73.5,3.3473542,.145443569553806,,,6.8535099,.145443569553806,4.1015024,.21643111,,,,,,,,,,,,,,,,,13.624578,16.571188,15.452593,3.282087988018989,24.174545,9.419128904705866,3.5344043,.0128239999487996,13.590329,1.418021034777164,11.482501,.3508160013351589,20.540956,1.38179997253418,3.6892078,.0034700000993907,9.9216156,.1964799933824688,12.917098,.5065599985122681,2.8697045,.13212401,3.2288451,.0246160001754761,1.8122057,.0027339999768883,2.2011979,.0021719999909401,5.839354,.0760079992115498,,,5.519527,.025423999786377,,,1.8972487,.0011700000166893,,
TUR,Turkey,61.125,3.3264151,.750127345406824,1.1590722,.0209973742782152,6.7464886,.729129971128609,.62193382,.0039658793,,,,,1.0167714,.015564,,,1.3541828,.015564,,,,,,,27.539345,719.2193,25.662092,79.00208508246462,30.604237,100.4376844719304,35.114761,66.09372965416591,29.40752,75.50646609542251,42.262962,91.93183902662247,60.931438,189.5499640771337,32.140846,12.05919089755695,41.487579,75.49906279299933,28.679758,29.1392719540447,34.656841,1223.0758,30.967327,114.1309003882721,6.5226693,.6699900071133161,7.2815943,.4132170054316521,1.4684728,.006353000109084,7.3105426,.3829679980576038,111.65268,1106.017511054505,14.259418,.935905990600586,7.9482803,.452114990234375,4.3272548,.0668760018348694
POL,Poland,46.049999,2.5989954,4.57641549595573,,,5.4224787,4.84248616432524,.39293146,.012792652,,,3.4062383,.29267776,,,,,,,,,,,,,7.8769441,215.26683,11.546586,92.05056597161898,7.2742124,17.25095686488412,13.49491,47.98486613430735,8.2891388,21.6292000420019,10.484949,17.95511961489869,7.7021804,4.897152066230774,3.5381088,.2057609959300608,8.0055618,6.938506217297633,7.3815303,6.354693955734372,11.432129,561.52747,5.8778067,9.982542850960046,4.0213609,2.008234952975064,.51371872,.0018559999912977,1.1306092,.0370870008841157,6.2493634,3.060020046830177,37.734982,546.1226420898438,1.2781818,.0086220001131296,2.9855356,.3064780140742659,,
SVK,Slovakia,53.174999,2.5778651,1.22345669291339,,,5.2780261,1.22345669291339,,,,,,,,,,,,,,,,,,,4.9676986,14.793427,3.1062298,.4909819989800453,5.3051443,1.833353019155562,9.1420221,4.087147139605134,6.0687799,2.325495030963328,3.1720588,.1362109993826598,,,.37847176,.0000689999982715,5.2122502,.5246449954845012,10.762001,5.395524953592568,2.2235804,1.132002,2.0670655,.1189480049086269,4.9162111,1.005278029292822,1.0543517,.0043959999716608,.48071665,.0007810000181198,,,,,.3254706,.0000390000008047,.93268728,.0025599999980768,,
GRC,Greece,52.825001,2.521342,1.214829,.85638589,.0314960614173228,5.8218474,1.742482,2.509932,.96940899,2.8598766,.96940899,,,,,,,,,,,,,,,11.157082,177.85522,6.7680602,5.389758771710913,9.7439089,12.05496511062328,9.5849981,4.998980972327292,9.969162,10.93954402551055,13.075187,10.12381001892593,34.352859,126.3287522047758,6.8419518,.432614002129063,4.4365087,.3433409973718226,11.639298,7.243474027991295,6.4656825,29.53546,9.0133638,10.4656670082584,1.5137239,.0311420008838177,.64418346,.0010639999732375,1.9525913,.0555429985448718,8.7312803,2.426396052740514,17.737316,16.4904477538988,,,2.6832159,.0646860001385212,.5515523,.0005149999856949
KAZ,Kazakhstan,62.900002,2.3935621,.216,2.7468531,.216,,,,,,,,,,,,,,,,,,,,,3.2923119,.94976801,,,1.2266201,.0049980001226068,7.1490607,.4310740112066269,2.6734719,.0438479995504022,7.8727727,.4592860100977123,,,1.3876088,.0007499999850988,2.289912,.0098120000362396,,,1.5818273,.089883,3.1161895,.0898829976320267,,,,,,,,,,,,,,,,
