p_iso3,p_country_name,fsi_2022_ss_p,contr_ss_fdi_inward,fdi_inward,contr_ss_fdi_eq_inward,fdi_eq_inward,contr_ss_fdi_debt_inward,fdi_debt_inward,contr_ss_fdi_outward,fdi_outward,contr_ss_fdi_eq_outward,fdi_eq_outward,contr_ss_fdi_debt_outward,fdi_debt_outward,contr_ss_pi_inward,pi_inward,contr_ss_pi_eq_inward,pi_eq_inward,contr_ss_pi_debt_inward,pi_debt_inward,contr_ss_pi_outward,pi_outward,contr_ss_pi_eq_outward,pi_eq_outward,contr_ss_pi_debt_outward,pi_debt_outward,contr_ss_imports_tot,imports_tot,contr_ss_imports_agric,imports_agric,contr_ss_imports_chemic,imports_chemic,contr_ss_imports_electro,imports_electro,contr_ss_imports_machine,imports_machine,contr_ss_imports_metals,imports_metals,contr_ss_imports_mineral,imports_mineral,contr_ss_imports_stone,imports_stone,contr_ss_imports_textil,imports_textil,contr_ss_imports_vehicle,imports_vehicle,contr_ss_exports_tot,exports_tot,contr_ss_exports_agric,exports_agric,contr_ss_exports_chemic,exports_chemic,contr_ss_exports_electro,exports_electro,contr_ss_exports_machine,exports_machine,contr_ss_exports_metals,exports_metals,contr_ss_exports_mineral,exports_mineral,contr_ss_exports_stone,exports_stone,contr_ss_exports_textil,exports_textil,contr_ss_exports_vehicle,exports_vehicle
GIB,Gibraltar,66.775002,,,,,,,40.245468,484.95624,45.856651,484.95624,,,5.8562398,1.342,,,7.7996092,1.342,40.542011,397.82187525,61.457272,397.82187525,,,.44146407,.0013370001,,,.41251719,.0001110000014305,1.0662284,.0008350000157952,.50347835,.0001710000038147,.73699409,.0002199999988079,,,,,,,,,4.9238024,1.5828249,4.3634839,.1440909998398274,1.9721403,.0083569999958854,1.854797,.0030819999091327,3.2170541,.0301440009481739,1.1982353,.0007609999978449,15.690742,1.385254943359643,1.4244158,.0004209999906598,2.9151504,.010066000007093,1.2027236,.0006480000019073
VNM,Vietnam,80.875,,,,,,,,,,,,,,,,,,,,,,,,,92.169067,2169.6885,60.818325,84.62662513551581,73.714775,112.9423836905044,222.22714,1348.104363825561,91.166641,181.033098717068,96.25486,87.39674526982755,9.6538734,.0606659982204437,68.643791,9.453471889004112,153.79063,309.4696720072134,71.675217,36.60163044419489,104.5073,2698.7805,174.76512,1650.811605053214,55.359413,32.9615676595245,78.382347,41.47579179337202,40.722565,10.90253897141002,64.921448,21.58338322284922,183.60257,395.760056042416,73.919518,10.49169117388851,194.41119,532.395570957657,33.053062,2.398332052059472
KWT,Kuwait,74.574997,,,,,,,,,,,,,,,,,,,,,,,,,9.8027353,5.4159298,6.4151874,.2060730018615723,8.3604794,.3418820030838251,5.9355044,.0532959998846054,7.6755595,.2241659990549087,11.88271,.3411640146747231,31.199877,4.24901904296875,,,1.2318712,.000330000013113,,,33.923744,191.52632,64.754791,174.2362015002313,18.682373,2.628565986796981,12.045604,.3123310013245791,23.031725,4.092522968437523,28.384243,3.742624047201127,6.7849765,.0414410018920898,24.079332,.7524730022866278,30.821026,4.401505054855719,21.230186,1.318636010631919
SLV,El Salvador,60.5,,,,,,,,,14.220349,35.152241,,,2.1481655,.161,,,2.8610253,.161,,,,,,,5.7647209,7.2361398,7.6072698,2.257461901567877,4.5465121,.3612089983001351,7.4564366,.6941550081023015,6.7582817,1.005285022945143,12.457884,2.582798006843776,,,1.9654826,.0030250000022352,6.2384377,.2815699978489429,3.3433247,.0506360010355711,14.421308,96.665581,20.525253,36.45264570768248,18.813856,17.63588390917692,13.944124,3.183052944412339,20.515326,19.00149612159305,14.580355,3.332648016645107,7.8245955,.417552994735539,16.352661,1.548331003701082,19.787712,7.652224008411634,20.181664,7.441752974122763
ECU,Ecuador,52.224998,,,4.4467697,4.88687708192257,,,11.14305,94.011978,10.998542,61.111099,,,,,,,,,3.88008,3.18503471,5.3214302,2.35870241,3.3085434,.8263323,8.9372807,101.31666,12.952344,41.8669589822879,7.9716854,7.31587805486191,3.9701557,.3937110015228391,5.5044675,2.040885987918824,19.806713,39.0020400826782,,,3.9363596,.091304999768734,12.292172,8.093514989841729,7.902329,2.512357932433486,17.172176,613.23419,19.503235,117.5103127265614,24.847126,152.6457309482795,19.893021,34.72680498818727,22.690067,96.59448982228992,27.82003,86.98619835204829,9.7517138,3.037114952575299,22.380302,14.91381711185398,23.806454,50.06996620754025,25.551849,56.74972714337706
KAZ,Kazakhstan,62.900002,,,,,,,,,,,,,16.250196,49.10675282,7.6554265,1.38552282,21.437269,47.72123,,,,,,,13.872334,71.049843,,,19.848274,21.17552790491283,.73002189,.0004589999914169,1.975907,.0177020002603531,12.787137,1.967976992249489,41.973083,47.88791668273881,.39270183,.0000170000009239,.66379225,.000238999992609,,,11.614976,35.584042,20.39365,25.19363902114704,10.788266,2.342939983476885,7.2058306,.3095029995404184,15.58605,5.87088100292813,12.95965,1.648949989249697,,,5.1949897,.0349780000504106,4.8324957,.0785339994104579,5.473752,.1046169993691146
DZA,Algeria,79.074997,,,,,,,,,,,,,,,,,,,,,,,,,59.728519,723.04126,4.7034039,.0479309988021851,101.93587,365.7214112548828,.47380969,.00001600000076,,,.93470436,.000097999997437,162.95239,357.2718390960694,,,,,,,74.142502,1180.0635,143.03,1108.129943568401,23.399721,3.048185992254759,33.963299,4.13185899095214,26.532179,3.692470002935151,50.550991,12.47728000218794,82.670006,44.24005631446838,19.779703,.2461519953450188,34.456352,3.629563976002857,17.921497,.4681370151042938
CUW,Cura�ao,76.050003,,,39.549927,116.774305596737,,,67.192024,700.0625,76.560211,700.0625,,,,,,,,,21.166349,17.56073824,32.054005,17.50845224,4.0710788,.052286,2.4945362,.074824996,,,1.1935642,.0008339999914169,,,5.448884,.0672369995117188,3.409045,.0067540001384914,,,,,,,,,18.390079,25.580788,34.355511,21.81513761051558,9.0899839,.2538389984813985,6.021029,.0327030000621453,9.0884714,.2108289989042096,4.9980135,.0171309999593068,2.3588874,.001460000038147,19.765181,.3489039953202009,17.618933,.689357995653525,26.74983,2.211427052140236
GHA,Ghana,52.674999,,,,,,,11.636557,99.10817,9.5356207,36.866055,,,,,,,,,,,,,,,7.9136147,65.111008,15.044061,60.72768915599585,1.5802562,.0527549989782274,,,.76778877,.0051269998550415,1.2386031,.0088290001302958,10.671229,3.884826904296875,6.7740488,.4307450014352798,.63584918,.0010370000004768,,,12.096284,198.41353,22.807035,173.9512364963936,8.8171844,6.314094008659944,5.8183808,.8043299708007835,8.8633671,5.329743004945107,9.9389505,3.671675890975282,3.3587146,.1148689957037568,9.956459,1.215544004395604,8.7146349,2.273557018117048,11.459329,4.738483932830393
ABW,Aruba,70.925003,,,,,,,,,26.999411,57.529316,,,8.1340437,2.09,11.142954,1.45,7.3019419,.64,,,,,,,.20603941,.000078999998,,,,,.58217496,.0000790000036359,,,,,,,,,,,,,16.08453,32.069122,26.652845,19.08527202960244,6.4479752,.169760999308899,5.664382,.0510190003681928,6.6303349,.1533779981439002,33.392689,9.57289814227773,3.8135555,.0115590000152588,23.03513,1.034843008864671,12.433225,.4538959989259019,19.217968,1.53649399299128
BHR,Bahrain,68.199997,,,,,,,9.1509037,4.7142167,10.757361,5.1770058,,,67.738686,1717.40281310644,32.849823,52.8568452890231,89.28228,1664.54596781742,3.4911473,.21006,,,4.6674981,.21006,21.207287,122.56503,1.506282,.0059620002637384,24.480467,19.18323260959238,2.1586602,.0057300002258271,6.5780826,.3153680060356855,52.441795,65.54346695853397,49.305321,37.4792890625,3.3435109,.0050660000443459,3.5613227,.0178209998607636,2.7013812,.0090869998931885,39.810368,691.80786,35.665001,65.06231511280919,41.544548,64.60186422734381,10.452978,.456173001968069,15.731399,2.914699010517448,26.980085,7.183800908709527,122.83766,549.6164472343697,20.970118,1.110810973480344,11.584283,.522332995293662,10.329406,.3394450066760182
LTU,Lithuania,50.950001,,,,,,,2.3256269,1.067577,2.7571542,1.202558,,,2.8380167,1.742482,4.0455704,1.362081,2.2759359,.380401,.96579117,.061355,1.4640343,.061355,,,5.6632142,32.200424,5.3798537,3.747536898239516,9.3531694,14.76048462936934,8.8430958,5.434707967277617,6.421257,4.047075029400177,5.9599938,1.32738099339162,4.6970444,.4470390014648438,5.2468657,.2700960029289126,7.1801777,2.014953035425395,2.8751488,.1511490009948611,5.8542523,30.350985,9.4077826,16.47502018742578,8.2038288,6.862999975993996,3.3166878,.2010410009808838,7.8968635,5.086476089048199,4.7937684,.5559260096475482,1.5727512,.0159150002673268,5.3658533,.2567529972568154,5.3430076,.7070640195915475,3.5480354,.1897879963042214
TUN,Tunisia,59.575001,,,,,,,,,,,,,,,,,,,,,,,,,10.61552,51.906025,11.318744,8.54182192774117,17.321877,22.94723129807413,14.317067,5.644773904961534,9.7861929,3.506254974088632,7.0226741,.5314799973932095,18.621077,6.81721484375,7.6123605,.2018819962143898,13.751988,3.464791013551876,5.4399662,.2505729997754097,18.985052,253.34656,36.717529,239.7208365317192,13.154586,6.924959933649982,7.8247876,.6461149899316951,9.0065651,1.84693700036034,11.109924,1.693714971800568,4.1723104,.0727239991128445,8.2032022,.2245279978942126,11.055194,1.532927982311579,8.6957388,.6838260302506387
MAC,Macao,63.099998,,,,,,,1.8538762,.078895964,2.1123512,.078895964,,,9.3881369,9.20227354862258,11.569171,4.647334912730551,9.890749,4.55493863589203,,,,,,,4.812603,2.8830121,2.5587265,.0588219984769821,8.254612,1.480293055176735,4.3553762,.0947269968208857,6.8527231,.7176360028088092,4.6549673,.0922660010010004,,,1.3657701,.0006949999928474,8.1966324,.4373199886456132,1.1053447,.0012530000209808,9.6101618,19.587734,18.34691,17.82734671679128,5.3372707,.2757120035607368,1.4796041,.002604000069201,1.8933663,.010228000164032,.55666614,.0001270000040531,,,3.6663418,.0119490000605583,12.923579,1.459766980390996,,
EGY,Egypt,68.25,,,,,,,11.724038,9.8488283,11.430379,6.1699071,,,,,,,,,6.7658868,1.51896696,.16994277,6.91000000000e-06,9.0456553,1.51896005,28.600233,298.64502,31.752693,55.48174600599985,52.315681,185.9917436164208,18.605562,3.644730019625277,20.026321,8.840123938757461,17.158676,2.280778957605362,37.164097,15.9446905169487,38.507603,7.688324126407504,36.310314,18.76390684069123,2.6933515,.0089470001235604,55.271488,1839.2294,101.92377,1508.56653842493,39.453312,54.96529906000907,31.424299,12.31236606282415,41.619308,53.61812450401275,34.285271,14.64476381413918,83.331383,170.4614341681115,30.529129,3.40499202260247,19.950037,2.650369021864608,39.323658,18.60546236379444
KEN,Kenya,66.699997,,,,,,,,,,,14.136916,.74569803,,,,,,,,,,,,,4.3571253,1.298489,7.5275784,.9090040130445268,3.2274451,.0536989996880293,3.5673811,.0315920005571097,5.1564665,.1855680015562102,4.5954914,.0538790009329096,1.5064987,.001305999994278,3.2817602,.0058519999235868,4.0073595,.0310169997662306,3.6136394,.0265719994492829,16.477303,59.921444,21.755367,18.03967994914856,16.864498,5.278980980229797,18.526207,3.102386028911569,19.497219,6.778546993028373,14.725513,1.426798002946423,13.748062,.9412750227302313,20.431034,1.254975993187982,16.030001,1.690704017456621,38.462357,21.4080940540731
JOR,Jordan,71.925003,,,,,,,,,,,,,,,,,,,4.1948791,.225807,,,5.6083541,.225807,21.993319,84.707863,12.438538,2.080276992339641,41.826725,59.28768677062169,.66754794,.0001050000023097,4.5696235,.0655089988708496,,,48.531811,22.14774609375,,,16.198414,1.039096006371081,6.739727,.0874440021514893,33.892021,264.50244,65.565056,250.4726141797661,20.030296,4.486474048633478,15.014818,.8377409791515674,23.500517,6.020937932123895,12.720351,.4665109940283,10.990623,.2439339952468872,20.332779,.6274340031147003,11.680958,.3318299978142604,17.454967,1.014940998189151
SYC,Seychelles,72.175003,,,,,,,41.87434,271.29355,47.712631,271.29355,,,,,,,,,11.101028,4.05607957,16.827951,4.05607957,,,2.6057014,.13654099,1.1803517,.0017230000495911,2.4812891,.0119970002919435,6.7779355,.1065300001651049,2.3382609,.0085070000588894,2.8314722,.0061960000619292,,,,,,,1.7900696,.0015879999697208,10.100337,6.785511,19.343285,6.234063975465484,4.3144588,.0434570001456887,3.3252716,.0088199999807402,6.3240337,.1137239999687299,5.9730239,.0468149993866682,,,15.116626,.2499079981893301,7.4689875,.0840820005666465,2.9274988,.0046409999197349
COK,Cook Islands,69.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5177593,.38990301,1.1740631,.0018960000053048,,,,,.40951085,.0000419999994338,.97856748,.0002799999937415,11.697261,.3876849975585938,,,,,,
FJI,Fiji,70.300003,,,,,,,,,,,,,,,,,,,,,,,,,2.0629146,.085864998,.83714575,.0007789999842644,,,1.7458017,.0023069999217987,4.6129613,.0827789962291718,,,,,,,,,,,4.8593688,.95762998,7.026732,.3787250071220333,3.0385952,.0192389998601284,3.5531712,.0136370004303753,6.9077744,.1878309994079173,9.2517796,.2204760010894388,1.2329289,.0004230000078678,4.2323623,.0069509998857975,7.9855428,.1302309988950146,.79322016,.0001169999986887
ROU,Romania,59.375,,,,,,,,,5.2508111,2.0954013,,,3.5311284,.846699,1.3322439,.012271,4.6800885,.8344279999999999,,,,,,,16.882746,215.21233,6.8280439,1.932808005491272,16.129726,19.0972260812833,26.116173,35.31481334296149,25.006086,60.29528401975799,24.069382,22.05556298673689,1.9423674,.0079749998915941,15.0847,1.619174017854035,17.049454,6.80543605179037,34.880707,68.08405341740698,19.867348,299.25629,37.353859,260.1570933975197,7.8996601,1.545805012099212,17.560902,7.527944133677986,17.071699,12.96428784272005,13.99974,3.493099044157542,17.412251,5.448242937922478,14.420856,1.25729502036795,15.043016,3.98080898029916,13.904697,2.881739057004452
DMA,Dominica,65.175003,,,,,,,,,,,,,,,,,,,,,,,,,.92963004,.01553,,,1.8814514,.0131000000238419,1.3139786,.0019439999908209,.58577639,.0003350000083447,.60448217,.0001509999930859,,,,,,,,,5.6298599,2.943198,10.356999,2.396812988990685,3.1415796,.042022001221776,1.8075135,.0035479999817908,5.8249321,.2225839965101331,.50293827,.000070000000298,,,11.422316,.2700409851074219,2.4954016,.0078539997898042,.83113104,.0002660000026226
